PASSENGERS,FREIGHT,MAIL,DISTANCE,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,MONTH,CLASS
99.00,0.00,0.00,1455.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",MSN,"Madison, WI",5,L
99.00,0.00,0.00,1455.00,Sun Country Airlines d/b/a MN Airlines,13485,"Madison, WI",IFP,"Bullhead City, AZ",5,L
99.00,0.00,0.00,1835.00,Southwest Airlines Co.,13342,"Milwaukee, WI",OAK,"Oakland, CA",4,F
100.00,0.00,0.00,318.00,Allegiant Air,13342,"Milwaukee, WI",CVG,"Cincinnati, OH",10,L
100.00,0.00,0.00,1594.00,Sun Country Airlines d/b/a MN Airlines,13485,"Madison, WI",RNO,"Reno, NV",2,L
100.00,0.00,0.00,1688.00,"Global Crossing Airlines, Inc.",13485,"Madison, WI",EUG,"Eugene, OR",3,L
101.00,0.00,0.00,108.00,Envoy Air,13485,"Madison, WI",ORD,"Chicago, IL",5,F
101.00,0.00,0.00,213.00,Envoy Air,13930,"Chicago, IL",CWA,"Mosinee, WI",2,F
101.00,0.00,0.00,318.00,Allegiant Air,11193,"Cincinnati, OH",MKE,"Milwaukee, WI",10,L
101.00,0.00,0.00,1142.00,Southwest Airlines Co.,13342,"Milwaukee, WI",ABQ,"Albuquerque, NM",4,F
101.00,95.00,0.00,651.00,Southwest Airlines Co.,13342,"Milwaukee, WI",CLT,"Charlotte, NC",9,F
101.00,581.00,0.00,1247.00,Southwest Airlines Co.,13342,"Milwaukee, WI",SLC,"Salt Lake City, UT",8,F
102.00,0.00,0.00,1004.00,Envoy Air,10423,"Austin, TX",MSN,"Madison, WI",8,F
102.00,0.00,0.00,1113.00,Southwest Airlines Co.,14986,"Sarasota/Bradenton, FL",MKE,"Milwaukee, WI",9,F
103.00,0.00,0.00,1687.00,Delta Air Lines Inc.,12892,"Los Angeles, CA",MSN,"Madison, WI",8,F
104.00,0.00,0.00,651.00,Delta Air Lines Inc.,13342,"Milwaukee, WI",CLT,"Charlotte, NC",2,L
105.00,0.00,0.00,252.00,Endeavor Air Inc.,11977,"Green Bay, WI",MSP,"Minneapolis, MN",7,F
105.00,0.00,0.00,690.00,Republic Airline,13342,"Milwaukee, WI",PHL,"Philadelphia, PA",6,F
105.00,0.00,0.00,1471.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",CWA,"Mosinee, WI",5,L
106.00,0.00,0.00,238.00,Delta Air Lines Inc.,13342,"Milwaukee, WI",IND,"Indianapolis, IN",3,L
106.00,0.00,0.00,1738.00,United Air Lines Inc.,14908,"Santa Ana, CA",MKE,"Milwaukee, WI",7,F
107.00,0.00,0.00,252.00,Delta Air Lines Inc.,11977,"Green Bay, WI",MSP,"Minneapolis, MN",10,F
107.00,0.00,0.00,426.00,Delta Air Lines Inc.,13342,"Milwaukee, WI",OMA,"Omaha, NE",2,L
107.00,0.00,0.00,1471.00,Sun Country Airlines d/b/a MN Airlines,10590,"Bullhead City, AZ",CWA,"Mosinee, WI",6,L
107.00,0.00,0.00,1471.00,Sun Country Airlines d/b/a MN Airlines,11203,"Mosinee, WI",IFP,"Bullhead City, AZ",5,L
107.00,0.00,0.00,1738.00,Southwest Airlines Co.,13342,"Milwaukee, WI",SNA,"Santa Ana, CA",9,F
107.00,777.00,0.00,1004.00,Southwest Airlines Co.,12191,"Houston, TX",MKE,"Milwaukee, WI",10,F
108.00,0.00,0.00,287.00,Delta Air Lines Inc.,11433,"Detroit, MI",GRB,"Green Bay, WI",10,F
108.00,0.00,0.00,715.00,Southwest Airlines Co.,13342,"Milwaukee, WI",ALB,"Albany, NY",7,F
108.00,0.00,0.00,932.00,American Airlines Inc.,13485,"Madison, WI",BOS,"Boston, MA",8,F
108.00,0.00,36.00,745.00,Delta Air Lines Inc.,12478,"New York, NY",MKE,"Milwaukee, WI",3,F
108.00,718.00,0.00,1258.00,Southwest Airlines Co.,13342,"Milwaukee, WI",MIA,"Miami, FL",5,F
108.00,13158.00,0.00,725.00,United Air Lines Inc.,11618,"Newark, NJ",MKE,"Milwaukee, WI",9,L
109.00,0.00,0.00,969.00,Allegiant Air,13485,"Madison, WI",JAX,"Jacksonville, FL",8,L
109.00,0.00,0.00,1829.00,Southwest Airlines Co.,14831,"San Jose, CA",MKE,"Milwaukee, WI",1,F
110.00,0.00,0.00,238.00,Delta Air Lines Inc.,12339,"Indianapolis, IN",MKE,"Milwaukee, WI",1,L
110.00,0.00,0.00,287.00,Delta Air Lines Inc.,11977,"Green Bay, WI",DTW,"Detroit, MI",10,F
110.00,0.00,0.00,725.00,Delta Air Lines Inc.,11618,"Newark, NJ",MKE,"Milwaukee, WI",1,L
110.00,14526.00,0.00,690.00,United Air Lines Inc.,14100,"Philadelphia, PA",MKE,"Milwaukee, WI",7,L
112.00,0.00,0.00,311.00,Endeavor Air Inc.,13485,"Madison, WI",DTW,"Detroit, MI",3,F
113.00,0.00,0.00,878.00,Sun Country Airlines d/b/a MN Airlines,11973,"Gulfport/Biloxi, MS",MSN,"Madison, WI",9,L
